ID	SRR413556	SRR413557	SRR413558	SRR413559	SRR413560	SRR413561	SRR413562	SRR413563	SRR413564	SRR413565	SRR413566	SRR413567	SRR413568	SRR413569	SRR413570	SRR413571	SRR413572	SRR413573	SRR413574	SRR413575	SRR413576	SRR413577	SRR413578	SRR413579	SRR413580	SRR413581	SRR413582	SRR413583	SRR413584	SRR413585	SRR413586	SRR413587	SRR413588	SRR413589	SRR413590	SRR413591	SRR413592	SRR413593	SRR413594	SRR413595	SRR413596	SRR413597	SRR413598	SRR413599	SRR413600	SRR413601	SRR413602	SRR413603	SRR413604	SRR413605	SRR413606	SRR413607	SRR413608	SRR413609	SRR413610	SRR413611	SRR413612	SRR413613	SRR413614	SRR413615	SRR413616	SRR413617	SRR413618	SRR413619	SRR413620	SRR413621	SRR413622	SRR413623	SRR413624	SRR413625	SRR413626	SRR413627	SRR413628	SRR413629	SRR413630	SRR413631	SRR413632	SRR413633	SRR413634	SRR413635	SRR413636	SRR413637	SRR413638	SRR413639	SRR413640	SRR413641	SRR413642	SRR413643	SRR413644	SRR413645	SRR413646	SRR413647	SRR413648	SRR413649	SRR413650	SRR413651	SRR413652	SRR413653	SRR413654	SRR413655	SRR413656	SRR413657	SRR413658	SRR413659	SRR413660	SRR413661	SRR413662	SRR413663	SRR413664	SRR413665	SRR413666	SRR413667	SRR413668	SRR413669	SRR413670	SRR413671	SRR413672	SRR413673	SRR413674	SRR413675	SRR413676	SRR413677	SRR413678	SRR413679	SRR413680	SRR413681	SRR413682	SRR413683	SRR413684	SRR413685	SRR413686	SRR413687	SRR413688	SRR413689	SRR413690	SRR413691	SRR413692	SRR413693	SRR413694	SRR413695	SRR413696	SRR413697	SRR413698	SRR413699	SRR413700	SRR413701	SRR413702	SRR413703	SRR413704	SRR413705	SRR413706	SRR413707	SRR413708	SRR413709	SRR413710	SRR413711	SRR413712	SRR413713	SRR413714	SRR413715	SRR413716	SRR413717	SRR413718	SRR413719	SRR413720	SRR413721	SRR413722	SRR413723	SRR413724	SRR413725	SRR413726	SRR413727	SRR413728	SRR413729	SRR413730	SRR413731	SRR413732	SRR413733	SRR413734	SRR413735	SRR413736	SRR413737	SRR413738	SRR413739	SRR413740	SRR413741	SRR413742	SRR413743	SRR413744	SRR413745	SRR413746	SRR413747	SRR413748	SRR413749	SRR413750	SRR413751	SRR413752	SRR413753	SRR413754	SRR413755	SRR413756
k__Archaea	0.0	0.02828	0.0	0.0	0.0	0.0	0.0	0.01498	0.34894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36705	0.0	0.0	0.66337	0.0	0.0	0.0	0.0	0.0	1.46721	0.00318	0.0	0.00798	0.0053	0.01642	0.00848	0.0	0.0	0.0	0.0	0.0	0.0	0.59837	0.0	0.27215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44515	0.0	0.0	0.03496	0.0	0.0	0.15694	3.70906	0.00799	0.19216	0.0	0.0	0.0	0.0	0.0	0.26263	0.0	0.0	0.0	0.10145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04107	2.99942	0.0	0.0	0.00384	0.0	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.0	1.83601	0.00776	1.94992	0.0	0.0	0.0	0.0	0.52922	0.0	0.0	0.0	0.0	5.98609	0.0	0.0	0.0	0.0	0.03835	0.0	0.0	0.0	0.0	0.17211	0.0	0.15136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17595	0.0	0.0	0.02349	0.0	0.0	1.08655	0.0	0.0058	0.0	0.0	0.0	0.0	0.02136	0.0	0.89251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13317	0.0	0.93176	0.24109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40779	0.0	0.0
k__Archaea|p__Euryarchaeota	0.0	0.02828	0.0	0.0	0.0	0.0	0.0	0.01498	0.34894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36705	0.0	0.0	0.66337	0.0	0.0	0.0	0.0	0.0	1.46721	0.00318	0.0	0.00798	0.0053	0.01642	0.00848	0.0	0.0	0.0	0.0	0.0	0.0	0.59837	0.0	0.27215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44515	0.0	0.0	0.03496	0.0	0.0	0.15694	3.70906	0.00799	0.19216	0.0	0.0	0.0	0.0	0.0	0.26263	0.0	0.0	0.0	0.10145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04107	2.99942	0.0	0.0	0.00384	0.0	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.0	1.83601	0.00776	1.94992	0.0	0.0	0.0	0.0	0.52922	0.0	0.0	0.0	0.0	5.98609	0.0	0.0	0.0	0.0	0.03835	0.0	0.0	0.0	0.0	0.17211	0.0	0.15136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17595	0.0	0.0	0.02349	0.0	0.0	1.08655	0.0	0.0058	0.0	0.0	0.0	0.0	0.02136	0.0	0.89251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13317	0.0	0.93176	0.24109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40779	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0	0.02828	0.0	0.0	0.0	0.0	0.0	0.01498	0.34894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36705	0.0	0.0	0.66337	0.0	0.0	0.0	0.0	0.0	1.46721	0.00318	0.0	0.00798	0.0053	0.01642	0.00848	0.0	0.0	0.0	0.0	0.0	0.0	0.59837	0.0	0.27215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44515	0.0	0.0	0.03496	0.0	0.0	0.15694	3.70906	0.0	0.19216	0.0	0.0	0.0	0.0	0.0	0.26263	0.0	0.0	0.0	0.10145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04107	2.99942	0.0	0.0	0.00384	0.0	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.0	1.83601	0.0	1.94992	0.0	0.0	0.0	0.0	0.52922	0.0	0.0	0.0	0.0	5.98609	0.0	0.0	0.0	0.0	0.03835	0.0	0.0	0.0	0.0	0.17211	0.0	0.14579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17595	0.0	0.0	0.02349	0.0	0.0	1.08655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13317	0.0	0.93176	0.24109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40119	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0	0.02828	0.0	0.0	0.0	0.0	0.0	0.01498	0.34894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36705	0.0	0.0	0.66337	0.0	0.0	0.0	0.0	0.0	1.46721	0.00318	0.0	0.00798	0.0053	0.01642	0.00848	0.0	0.0	0.0	0.0	0.0	0.0	0.59837	0.0	0.27215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44515	0.0	0.0	0.03496	0.0	0.0	0.15694	3.70906	0.0	0.19216	0.0	0.0	0.0	0.0	0.0	0.26263	0.0	0.0	0.0	0.10145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04107	2.99942	0.0	0.0	0.00384	0.0	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.0	1.83601	0.0	1.94992	0.0	0.0	0.0	0.0	0.52922	0.0	0.0	0.0	0.0	5.98609	0.0	0.0	0.0	0.0	0.03835	0.0	0.0	0.0	0.0	0.17211	0.0	0.14579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17595	0.0	0.0	0.02349	0.0	0.0	1.08655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13317	0.0	0.93176	0.24109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40119	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0	0.02828	0.0	0.0	0.0	0.0	0.0	0.01498	0.34894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36705	0.0	0.0	0.66337	0.0	0.0	0.0	0.0	0.0	1.46721	0.00318	0.0	0.00798	0.0053	0.01642	0.00848	0.0	0.0	0.0	0.0	0.0	0.0	0.59837	0.0	0.27215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44515	0.0	0.0	0.03496	0.0	0.0	0.15694	3.70906	0.0	0.19216	0.0	0.0	0.0	0.0	0.0	0.26263	0.0	0.0	0.0	0.10145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04107	2.99942	0.0	0.0	0.00384	0.0	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.0	1.83601	0.0	1.94992	0.0	0.0	0.0	0.0	0.52922	0.0	0.0	0.0	0.0	5.98609	0.0	0.0	0.0	0.0	0.03835	0.0	0.0	0.0	0.0	0.17211	0.0	0.14579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17595	0.0	0.0	0.02349	0.0	0.0	1.08655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13317	0.0	0.93176	0.24109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40119	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0	0.02498	0.0	0.0	0.0	0.0	0.0	0.01498	0.34894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36705	0.0	0.0	0.66337	0.0	0.0	0.0	0.0	0.0	1.46721	0.00318	0.0	0.00798	0.0053	0.01642	0.00848	0.0	0.0	0.0	0.0	0.0	0.0	0.59837	0.0	0.27215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44411	0.0	0.0	0.03496	0.0	0.0	0.1552	3.70906	0.0	0.19216	0.0	0.0	0.0	0.0	0.0	0.24989	0.0	0.0	0.0	0.10145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99942	0.0	0.0	0.00384	0.0	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.0	1.83601	0.0	1.91339	0.0	0.0	0.0	0.0	0.52922	0.0	0.0	0.0	0.0	5.98609	0.0	0.0	0.0	0.0	0.03835	0.0	0.0	0.0	0.0	0.11109	0.0	0.14579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17595	0.0	0.0	0.02349	0.0	0.0	1.08655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08133	0.0	0.93176	0.24109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40119	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0	0.01265	0.0	0.0	0.0	0.0	0.0	0.006	0.34894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36705	0.0	0.0	0.53257	0.0	0.0	0.0	0.0	0.0	1.31891	0.0	0.0	0.00535	0.0	0.00592	0.00435	0.0	0.0	0.0	0.0	0.0	0.0	0.56504	0.0	0.15976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44411	0.0	0.0	0.03213	0.0	0.0	0.1552	3.32027	0.0	0.16755	0.0	0.0	0.0	0.0	0.0	0.2321	0.0	0.0	0.0	0.10145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71534	0.0	0.0	0.0	0.0	0.0	0.0	0.10985	0.0	0.0	0.0	0.0	0.0	1.44398	0.0	1.77441	0.0	0.0	0.0	0.0	0.52922	0.0	0.0	0.0	0.0	5.64256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07796	0.0	0.14579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13066	0.0	0.0	0.02349	0.0	0.0	1.08655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06046	0.0	0.85531	0.24109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.58808	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0.0	0.01265	0.0	0.0	0.0	0.0	0.0	0.006	0.34894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36705	0.0	0.0	0.53257	0.0	0.0	0.0	0.0	0.0	1.31891	0.0	0.0	0.00535	0.0	0.00592	0.00435	0.0	0.0	0.0	0.0	0.0	0.0	0.56504	0.0	0.15976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44411	0.0	0.0	0.03213	0.0	0.0	0.1552	3.32027	0.0	0.16755	0.0	0.0	0.0	0.0	0.0	0.2321	0.0	0.0	0.0	0.10145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71534	0.0	0.0	0.0	0.0	0.0	0.0	0.10985	0.0	0.0	0.0	0.0	0.0	1.44398	0.0	1.77441	0.0	0.0	0.0	0.0	0.52922	0.0	0.0	0.0	0.0	5.64256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07796	0.0	0.14579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13066	0.0	0.0	0.02349	0.0	0.0	1.08655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06046	0.0	0.85531	0.24109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.58808	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.0	0.01234	0.0	0.0	0.0	0.0	0.0	0.00898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13081	0.0	0.0	0.0	0.0	0.0	0.1483	0.00318	0.0	0.00263	0.0053	0.01049	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.03333	0.0	0.11239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00284	0.0	0.0	0.0	0.38879	0.0	0.02461	0.0	0.0	0.0	0.0	0.0	0.01778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28408	0.0	0.0	0.00384	0.0	0.0	0.0	0.01715	0.0	0.0	0.0	0.0	0.0	0.39203	0.0	0.13898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34353	0.0	0.0	0.0	0.0	0.03835	0.0	0.0	0.0	0.0	0.03313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02087	0.0	0.07644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81311	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.0	0.0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104	0.0	0.0	0.0	0.0	0.0	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0.0	0.0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104	0.0	0.0	0.0	0.0	0.0	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545	0.0	0.0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104	0.0	0.0	0.0	0.0	0.0	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066	0.0	0.0
